muestra,dilucion,replica_1,replica_2,replica_3,replica_4
1,3,75,66,84,82
1,4,24,18,27,21
1,5,4,6,8,7
1,6,4,1,2,2
1,7,0,0,0,1
1,8,0,2,0,1
1,9,0,0,0,0
2,3,55,43,33,35
2,4,23,13,24,17
2,5,8,2,1,4
2,6,0,2,1,2
2,7,0,0,0,1
2,8,0,0,0,0
2,9,0,0,0,0
3,3,63,57,54,65
3,4,18,20,27,23
3,5,9,6,9,4
3,6,0,3,1,2
3,7,3,2,1,0
3,8,0,0,1,0
3,9,0,0,1,0
4,3,105,70,87,73
4,4,25,21,33,28
4,5,10,7,4,4
4,6,2,2,1,4
4,7,1,0,0,1
4,8,0,0,0,0
4,9,0,0,0,0
5,3,63,59,66,61
5,4,16,12,21,20
5,5,4,5,4,4
5,6,3,2,5,2
5,7,2,2,1,3
5,8,1,0,1,0
5,9,0,0,0,0
6,3,39,47,46,53
6,4,18,8,21,19
6,5,4,8,5,8
6,6,1,0,1,0
6,7,2,0,0,0
6,8,1,0,0,0
6,9,0,0,0,0
7,3,36,38,52,38
7,4,20,17,11,15
7,5,7,7,5,2
7,6,0,0,1,1
7,7,2,0,1,0
7,8,0,0,0,0
7,9,0,0,0,0
8,3,45,56,34,30
8,4,14,18,14,22
8,5,5,9,4,6
8,6,1,5,1,1
8,7,0,0,2,1
8,8,0,0,0,1
8,9,0,0,0,0
9,3,30,46,45,49
9,4,16,17,15,21
9,5,5,5,5,4
9,6,1,1,0,1
9,7,0,0,0,0
9,8,1,0,0,0
9,9,0,0,0,0
